Name,Description,ISE ID,System Defined
Sony-Device,Identity Group for Profile: Sony-Device,38a73670-8c00-11e6-996c-525400b48521,True
Cisco-Meraki-Device,Identity Group for Profile: Cisco-Meraki-Device,1e2700a0-8c00-11e6-996c-525400b48521,True
IOTExample,Identity Group for Profile: IOTExample,97183780-14df-11e9-a8fe-365742c5d97c,True
Apple-iDevice,Identity Group for Profile: Apple-iDevice,0a4a50f0-8c00-11e6-996c-525400b48521,True
BlackBerry,Identity Group for Profile: BlackBerry,0cc7ad00-8c00-11e6-996c-525400b48521,True
Android,Identity Group for Profile: Android,ffa36b00-8bff-11e6-996c-525400b48521,True
Axis-Device,Identity Group for Profile: Axis-Device,0c4eac70-8c00-11e6-996c-525400b48521,True
Juniper-Device,Identity Group for Profile: Juniper-Device,2b07d100-8c00-11e6-996c-525400b48521,True
Epson-Device,Identity Group for Profile: Epson-Device,22c6c780-8c00-11e6-996c-525400b48521,True
Profiled,Profiled Identity Group,aa10ae00-8bff-11e6-996c-525400b48521,True
Blocked List,Blocked List Identity Group,aa000c30-8bff-11e6-996c-525400b48521,True
GuestEndpoints,Guest Endpoints Identity Group,aa178bd0-8bff-11e6-996c-525400b48521,True
Synology-Device,Identity Group for Profile: Synology-Device,3a1b38d0-8c00-11e6-996c-525400b48521,True
Vizio-Device,Identity Group for Profile: Vizio-Device,3b113190-8c00-11e6-996c-525400b48521,True
Trendnet-Device,Identity Group for Profile: Trendnet-Device,3a88eec0-8c00-11e6-996c-525400b48521,True
RegisteredDevices,Asset Registered Endpoints Identity Group,aa13bb40-8bff-11e6-996c-525400b48521,True
Cisco-IP-Phone,Identity Group for Profile: Cisco-IP-Phone,14f5cac0-8c00-11e6-996c-525400b48521,True
Unknown,Unknown Identity Group,aa0e8b20-8bff-11e6-996c-525400b48521,True
Workstation,Identity Group for Profile: Workstation,3b76f840-8c00-11e6-996c-525400b48521,True